archetype,era,cost,source
linear 3-cmt PK,pre0622,3.0593,registry
linear 1-cmt PK,pre0622,6.8635,registry
Emax/effect PD,pre0622,23.6897,registry
linear 2-cmt PK,pre0622,10.134,registry
linear 2-cmt PK,pre0622,10.2285,registry
linear 1-cmt PK,pre0622,16.4854,registry
Emax/effect PD,pre0622,7.7371,registry
linear 2-cmt PK,pre0622,18.7182,registry
linear 1-cmt PK,pre0622,5.6668,registry
linear 1-cmt PK,pre0622,8.2613,registry
linear 1-cmt PK,pre0622,12.9549,registry
linear 2-cmt PK,pre0622,3.8448,registry
linear 1-cmt PK,pre0622,15.5768,registry
linear 1-cmt PK,pre0622,13.8457,registry
linear 1-cmt PK,pre0622,0.8509,registry
linear 1-cmt PK,pre0622,4.5425,registry
linear 2-cmt PK,pre0622,6.6896,registry
linear 2-cmt PK,pre0622,14.2047,registry
linear 1-cmt PK,pre0622,9.599,registry
linear 1-cmt PK,pre0622,8.5562,registry
linear 2-cmt PK,pre0622,13.7818,registry
linear 2-cmt PK,pre0622,8.3655,registry
linear 1-cmt PK,pre0622,10.1976,registry
indirect-response PD,pre0622,41.8656,registry
linear 1-cmt PK,pre0622,12.9082,registry
TMDD,pre0622,3.8367,registry
TMDD,pre0622,1.1553,registry
TMDD,pre0622,7.5147,registry
linear 1-cmt PK,pre0622,10.2364,registry
Emax/effect PD,pre0622,14.8742,registry
linear 1-cmt PK,pre0622,9.12,registry
linear 2-cmt PK,pre0622,7.9016,registry
linear 2-cmt PK,pre0622,14.7016,registry
linear 2-cmt PK,pre0622,10.2024,registry
linear 1-cmt PK,pre0622,16.2253,registry
linear 1-cmt PK,pre0622,12.7347,registry
linear 2-cmt PK,pre0622,15.3674,registry
linear 2-cmt PK,pre0622,5.2577,registry
linear 1-cmt PK,pre0622,9.6806,registry
linear 2-cmt PK,pre0622,8.4326,registry
linear 3-cmt PK,pre0622,7.9376,registry
linear 2-cmt PK,pre0622,1.8683,registry
linear 2-cmt PK,pre0622,9.3772,registry
linear 2-cmt PK,pre0622,2.1606,registry
linear 2-cmt PK,pre0622,2.0495,registry
linear 2-cmt PK,pre0622,1.1541,registry
linear 1-cmt PK,pre0622,20.3112,registry
TTE/survival,pre0622,18.6068,registry
linear 1-cmt PK,pre0622,3.7384,registry
Emax/effect PD,pre0622,10.8939,registry
linear 1-cmt PK,pre0622,7.7703,registry
linear 2-cmt PK,pre0622,12.9745,registry
linear 1-cmt PK,pre0622,9.5314,registry
MM/nonlinear PK,pre0622,8.5734,registry
MM/nonlinear PK,pre0622,12.3918,registry
Emax/effect PD,pre0622,8.2326,registry
linear 1-cmt PK,pre0622,7.0849,registry
Emax/effect PD,pre0622,3.0157,registry
TMDD,pre0622,1.1633,registry
linear 1-cmt PK,pre0622,14.4307,registry
linear 3-cmt PK,pre0622,6.9777,registry
linear 2-cmt PK,pre0622,13.7818,registry
linear 2-cmt PK,pre0622,9.9382,registry
linear 2-cmt PK,pre0622,8.434,registry
linear 1-cmt PK,pre0622,12.6054,registry
linear 1-cmt PK,pre0622,3.2786,registry
linear 3-cmt PK,pre0622,10.2283,registry
indirect-response PD,pre0622,10.5701,registry
linear 1-cmt PK,pre0622,15.22,registry
linear 2-cmt PK,pre0622,11.0012,registry
linear 1-cmt PK,pre0622,5.3443,registry
linear 1-cmt PK,pre0622,7.8511,registry
linear 2-cmt PK,pre0622,11.8473,registry
linear 2-cmt PK,pre0622,12.3445,registry
linear 2-cmt PK,pre0622,11.3843,registry
linear 2-cmt PK,pre0622,15.2547,registry
linear 2-cmt PK,pre0622,9.0343,registry
linear 1-cmt PK,pre0622,10.6028,registry
indirect-response PD,pre0622,22.6645,registry
linear 1-cmt PK,pre0622,7.0245,registry
linear 1-cmt PK,pre0622,1.2325,registry
linear 1-cmt PK,pre0622,9.7035,registry
linear 2-cmt PK,pre0622,1.6187,registry
linear 2-cmt PK,pre0622,9.7079,registry
linear 1-cmt PK,pre0622,10.5524,registry
linear 2-cmt PK,pre0622,14.7391,registry
linear 2-cmt PK,pre0622,13.0463,registry
TMDD,pre0622,32.017,registry
linear 1-cmt PK,pre0622,12.8728,registry
linear 2-cmt PK,pre0622,11.9826,registry
linear 2-cmt PK,pre0622,12.9598,registry
linear 2-cmt PK,pre0622,4.442,registry
linear 2-cmt PK,pre0622,7.1324,registry
linear 3-cmt PK,pre0622,21.0357,registry
Emax/effect PD,pre0622,9.4272,registry
linear 2-cmt PK,pre0622,13.8765,registry
TMDD,pre0622,10.636,registry
linear 2-cmt PK,pre0622,7.3507,registry
linear 2-cmt PK,pre0622,0.9296,registry
linear 2-cmt PK,pre0622,13.8083,registry
MM/nonlinear PK,pre0622,16.9967,registry
linear 1-cmt PK,pre0622,6.6885,registry
linear 2-cmt PK,pre0622,9.7132,registry
Emax/effect PD,pre0622,15.9558,registry
linear 2-cmt PK,pre0622,22.5364,registry
linear 2-cmt PK,pre0622,9.3497,registry
linear 2-cmt PK,pre0622,13.9165,registry
linear 1-cmt PK,pre0622,12.4779,registry
linear 2-cmt PK,pre0622,7.9016,registry
linear 2-cmt PK,pre0622,14.7016,registry
linear 2-cmt PK,pre0622,7.9308,registry
linear 2-cmt PK,pre0622,20.3112,registry
linear 2-cmt PK,pre0622,12.0065,registry
linear 2-cmt PK,pre0622,9.0576,registry
linear 2-cmt PK,pre0622,1.1255,registry
linear 1-cmt PK,pre0622,3.0243,registry
linear 1-cmt PK,pre0622,12.3014,registry
linear 2-cmt PK,pre0622,9.282,registry
